step,alive_cars,moving_cars,avg_current_speed,avg_current_speed_kph,avg_distance_travelled,max_distance_travelled,avg_checkpoints_reached,max_checkpoints_reached,dominant_termination_reason,best_car_index,best_car_speed,best_car_speed_kph,best_car_distance,best_car_checkpoints,best_car_reward,best_car_x,best_car_y
1,8,0,0.032545678317546844,0.11716444045305252,0.0004283876623958349,0.0006133957067504525,0.0,0,none,7,0.04770038276910782,0.17172137796878814,0.0006133957067504525,0,0.0023865224793553352,1498.7533774030042,871.9155004360326
2,8,0,0.06499159336090088,0.23396973311901093,0.001254729344509542,0.0018356237560510635,0.0,0,none,7,0.0952477753162384,0.34289199113845825,0.0018356237560510635,0,0.004810345359146595,1498.7521393062032,871.9155616084284
3,8,4,0.09737258404493332,0.35054129362106323,0.002553798258304596,0.0037910346873104572,0.0,0,none,6,0.14303232729434967,0.5149163782596589,0.0037910346873104572,0,0.020126109942793846,1505.8323154222578,875.0735223618323
4,8,4,0.12968876957893372,0.46687954664230347,0.004235400818288326,0.006234158296138048,0.0,0,none,7,0.19005724787712097,0.6842060923576355,0.006234158296138048,0,0.03972478583455086,1498.7478138959646,871.9157753170671
5,8,7,0.16194023191928864,0.5829848051071167,0.006330306176096201,0.009291404858231544,0.0,0,none,7,0.23731964826583862,0.8543507337570191,0.009291404858231544,0,0.057207293808460236,1498.7447290499435,871.9159277291944
6,8,7,0.1941271275281906,0.6988576650619507,0.008866991847753525,0.01307600922882557,0.0,0,none,6,0.2850663959980011,1.026239025592804,0.01307600922882557,0,0.07042338699102402,1505.8230385540087,875.0738860550813
7,8,7,0.2262495458126068,0.8144983649253845,0.011816810816526413,0.01735643297433853,0.0,0,none,7,0.3315606415271759,1.1936183094978332,0.01735643297433853,0,0.09222271293401718,1498.7367212281206,871.9163233570906
8,8,7,0.2583076059818268,0.9299073815345764,0.01516327727586031,0.022245345637202263,0.0,0,none,7,0.3785395622253418,1.3627424240112305,0.022245345637202263,0,0.10975554585456848,1498.7318007067595,871.9165664474452
9,8,7,0.29030144214630127,1.0450851917266846,0.018970374017953873,0.027856998145580292,0.0,0,none,6,0.4262484014034271,1.5344942450523378,0.027856998145580292,0,0.12086576223373413,1505.8082425862476,875.0744660874267
10,8,7,0.32223111391067505,1.160032033920288,0.02312730811536312,0.03397735208272934,0.0,0,none,7,0.47221502661705017,1.6999740958213807,0.03397735208272934,0,0.14487123489379883,1498.7201325627339,871.9171428660167
11,8,7,0.35409682989120483,1.2747485637664795,0.027757681906223297,0.04080568999052048,0.0,0,none,6,0.5198985934257507,1.8716349363327027,0.04080568999052048,0,0.1545739620923996,1505.7953288063534,875.0749723001363
12,8,7,0.3858985900878906,1.3892349004745483,0.032771021127700806,0.04813626408576965,0.0,0,none,6,0.5665827989578247,2.039698076248169,0.04813626408576965,0,0.17145191133022308,1505.7879606437245,875.0752611136753
13,8,7,0.41763657331466675,1.5034916400909424,0.03819713741540909,0.05607670173048973,0.0,0,none,6,0.6131733059883118,2.2074239015579225,0.05607670173048973,0,0.18834568560123444,1505.7799865911004,875.075573665008
14,8,7,0.44931092858314514,1.6175192594528198,0.044051699340343475,0.06475143134593964,0.0,0,none,6,0.6596702933311462,2.3748130559921266,0.06475143134593964,0,0.20525524020195007,1505.7714078646952,875.0759099037506
15,8,7,0.4809216856956482,1.7313179969787598,0.05030195415019989,0.07391402870416641,0.0,0,none,6,0.7060739398002625,2.541866183280945,0.07391402870416641,0,0.2221805304288864,1505.7622256785496,875.0762697794133
16,8,7,0.5124689936637878,1.8448883295059204,0.0569814033806324,0.08368651568889618,0.0,0,none,6,0.75238436460495,2.70858371257782,0.08368651568889618,0,0.23912151157855988,1505.752441244636,875.0766532413977
17,8,7,0.5439529418945312,1.9582304954528809,0.06405819207429886,0.09407128393650055,0.0,0,none,6,0.7986017465591431,2.874966287612915,0.09407128393650055,0,0.2560781240463257,1505.7420557728096,875.0770602389988
18,8,7,0.5753737688064575,2.071345567703247,0.07154760509729385,0.10506591945886612,0.0,0,none,6,0.8447262644767761,3.041014552116394,0.10506591945886612,0,0.27305033802986145,1505.7310704708102,875.0774907214071
19,8,7,0.6067314147949219,2.1842329502105713,0.07944858819246292,0.11667046695947647,0.0,0,none,6,0.8907580375671387,3.206728935241699,0.11667046695947647,0,0.2900381088256836,1505.719486544265,875.0779446377086
20,8,7,0.6380260586738586,2.296893835067749,0.08774831146001816,0.12888726592063904,0.0,0,none,6,0.9366973042488098,3.3721102952957156,0.12888726592063904,0,0.30704134702682495,1505.7073051967425,875.0784219368843
21,8,7,0.6692578792572021,2.4093282222747803,0.09645982086658478,0.14159196615219116,0.0,0,none,6,0.9825441241264343,3.5371588468551636,0.14159196615219116,0,0.3240600526332855,1505.6945276296508,875.0789225678155
22,8,7,0.7004268169403076,2.5215365886688232,0.10558455437421799,0.15503093600273132,0.0,0,none,6,1.0282987356185913,3.7018754482269287,0.15503093600273132,0,0.34109413623809814,1505.6811550422929,875.0794464792828
23,8,7,0.7315331697463989,2.633519411087036,0.11507595330476761,0.16895778477191925,0.0,0,none,6,1.0739612579345703,3.866260528564453,0.16895778477191925,0,0.3581435978412628,1505.6671886318677,875.0799936199669
24,8,7,0.7625769972801208,2.745277166366577,0.12502574920654297,0.1836165189743042,0.0,0,none,6,1.1195318698883057,4.0303147315979,0.1836165189743042,0,0.3752083480358124,1505.6526295934739,875.0805639384506
